radius,outer,inner,clean_choice,sr_choice
0.0,0,0,HistGB,HistGB
0.0,0,1,HistGB,HistGB
0.0,0,2,HistGB,HistGB
0.0,0,3,HistGB,HistGB
0.0,0,4,HistGB,HistGB
0.0,0,5,HistGB,HistGB
0.0,0,6,HistGB,HistGB
0.0,0,7,HistGB,HistGB
0.0,0,8,HistGB,HistGB
0.0,0,9,HistGB,HistGB
0.0,0,10,HistGB,HistGB
0.0,0,11,HistGB,HistGB
0.0,0,12,HistGB,HistGB
0.0,0,13,HistGB,HistGB
0.0,0,14,HistGB,HistGB
0.0,1,0,HistGB,HistGB
0.0,1,1,HistGB,HistGB
0.0,1,2,HistGB,HistGB
0.0,1,3,HistGB,HistGB
0.0,1,4,HistGB,HistGB
0.0,1,5,HistGB,HistGB
0.0,1,6,HistGB,HistGB
0.0,1,7,HistGB,HistGB
0.0,1,8,HistGB,HistGB
0.0,1,9,HistGB,HistGB
0.0,1,10,HistGB,HistGB
0.0,1,11,HistGB,HistGB
0.0,1,12,HistGB,HistGB
0.0,1,13,HistGB,HistGB
0.0,1,14,HistGB,HistGB
0.0,2,0,HistGB,HistGB
0.0,2,1,HistGB,HistGB
0.0,2,2,HistGB,HistGB
0.0,2,3,HistGB,HistGB
0.0,2,4,HistGB,HistGB
0.0,2,5,HistGB,HistGB
0.0,2,6,HistGB,HistGB
0.0,2,7,HistGB,HistGB
0.0,2,8,HistGB,HistGB
0.0,2,9,HistGB,HistGB
0.0,2,10,HistGB,HistGB
0.0,2,11,HistGB,HistGB
0.0,2,12,HistGB,HistGB
0.0,2,13,HistGB,HistGB
0.0,2,14,HistGB,HistGB
0.0,3,0,HistGB,HistGB
0.0,3,1,HistGB,HistGB
0.0,3,2,HistGB,HistGB
0.0,3,3,HistGB,HistGB
0.0,3,4,HistGB,HistGB
0.0,3,5,HistGB,HistGB
0.0,3,6,HistGB,HistGB
0.0,3,7,HistGB,HistGB
0.0,3,8,HistGB,HistGB
0.0,3,9,HistGB,HistGB
0.0,3,10,HistGB,HistGB
0.0,3,11,HistGB,HistGB
0.0,3,12,HistGB,HistGB
0.0,3,13,HistGB,HistGB
0.0,3,14,HistGB,HistGB
0.0,4,0,HistGB,HistGB
0.0,4,1,HistGB,HistGB
0.0,4,2,HistGB,HistGB
0.0,4,3,HistGB,HistGB
0.0,4,4,HistGB,HistGB
0.0,4,5,HistGB,HistGB
0.0,4,6,HistGB,HistGB
0.0,4,7,HistGB,HistGB
0.0,4,8,HistGB,HistGB
0.0,4,9,HistGB,HistGB
0.0,4,10,HistGB,HistGB
0.0,4,11,HistGB,HistGB
0.0,4,12,HistGB,HistGB
0.0,4,13,HistGB,HistGB
0.0,4,14,HistGB,HistGB
0.0,5,0,HistGB,HistGB
0.0,5,1,HistGB,HistGB
0.0,5,2,HistGB,HistGB
0.0,5,3,HistGB,HistGB
0.0,5,4,HistGB,HistGB
0.0,5,5,HistGB,HistGB
0.0,5,6,HistGB,HistGB
0.0,5,7,HistGB,HistGB
0.0,5,8,HistGB,HistGB
0.0,5,9,HistGB,HistGB
0.0,5,10,HistGB,HistGB
0.0,5,11,HistGB,HistGB
0.0,5,12,HistGB,HistGB
0.0,5,13,HistGB,HistGB
0.0,5,14,HistGB,HistGB
0.0,6,0,HistGB,HistGB
0.0,6,1,HistGB,HistGB
0.0,6,2,HistGB,HistGB
0.0,6,3,HistGB,HistGB
0.0,6,4,HistGB,HistGB
0.0,6,5,HistGB,HistGB
0.0,6,6,HistGB,HistGB
0.0,6,7,HistGB,HistGB
0.0,6,8,HistGB,HistGB
0.0,6,9,HistGB,HistGB
0.0,6,10,HistGB,HistGB
0.0,6,11,HistGB,HistGB
0.0,6,12,HistGB,HistGB
0.0,6,13,HistGB,HistGB
0.0,6,14,HistGB,HistGB
0.0,7,0,HistGB,HistGB
0.0,7,1,HistGB,HistGB
0.0,7,2,HistGB,HistGB
0.0,7,3,HistGB,HistGB
0.0,7,4,HistGB,HistGB
0.0,7,5,HistGB,HistGB
0.0,7,6,HistGB,HistGB
0.0,7,7,HistGB,HistGB
0.0,7,8,HistGB,HistGB
0.0,7,9,HistGB,HistGB
0.0,7,10,HistGB,HistGB
0.0,7,11,HistGB,HistGB
0.0,7,12,HistGB,HistGB
0.0,7,13,HistGB,HistGB
0.0,7,14,HistGB,HistGB
0.0,8,0,HistGB,HistGB
0.0,8,1,HistGB,HistGB
0.0,8,2,HistGB,HistGB
0.0,8,3,HistGB,HistGB
0.0,8,4,HistGB,HistGB
0.0,8,5,HistGB,HistGB
0.0,8,6,HistGB,HistGB
0.0,8,7,HistGB,HistGB
0.0,8,8,HistGB,HistGB
0.0,8,9,HistGB,HistGB
0.0,8,10,HistGB,HistGB
0.0,8,11,HistGB,HistGB
0.0,8,12,HistGB,HistGB
0.0,8,13,HistGB,HistGB
0.0,8,14,HistGB,HistGB
0.0,9,0,HistGB,HistGB
0.0,9,1,HistGB,HistGB
0.0,9,2,HistGB,HistGB
0.0,9,3,HistGB,HistGB
0.0,9,4,HistGB,HistGB
0.0,9,5,HistGB,HistGB
0.0,9,6,HistGB,HistGB
0.0,9,7,HistGB,HistGB
0.0,9,8,HistGB,HistGB
0.0,9,9,HistGB,HistGB
0.0,9,10,HistGB,HistGB
0.0,9,11,HistGB,HistGB
0.0,9,12,HistGB,HistGB
0.0,9,13,HistGB,HistGB
0.0,9,14,HistGB,HistGB
0.0,10,0,HistGB,HistGB
0.0,10,1,HistGB,HistGB
0.0,10,2,HistGB,HistGB
0.0,10,3,HistGB,HistGB
0.0,10,4,HistGB,HistGB
0.0,10,5,HistGB,HistGB
0.0,10,6,HistGB,HistGB
0.0,10,7,HistGB,HistGB
0.0,10,8,HistGB,HistGB
0.0,10,9,HistGB,HistGB
0.0,10,10,HistGB,HistGB
0.0,10,11,HistGB,HistGB
0.0,10,12,HistGB,HistGB
0.0,10,13,HistGB,HistGB
0.0,10,14,HistGB,HistGB
0.0,11,0,HistGB,HistGB
0.0,11,1,HistGB,HistGB
0.0,11,2,HistGB,HistGB
0.0,11,3,HistGB,HistGB
0.0,11,4,HistGB,HistGB
0.0,11,5,HistGB,HistGB
0.0,11,6,HistGB,HistGB
0.0,11,7,HistGB,HistGB
0.0,11,8,HistGB,HistGB
0.0,11,9,HistGB,HistGB
0.0,11,10,HistGB,HistGB
0.0,11,11,HistGB,HistGB
0.0,11,12,HistGB,HistGB
0.0,11,13,HistGB,HistGB
0.0,11,14,HistGB,HistGB
0.0,12,0,HistGB,HistGB
0.0,12,1,HistGB,HistGB
0.0,12,2,HistGB,HistGB
0.0,12,3,HistGB,HistGB
