selector,r_eval,best_r_val,best_regret_mean,best_regret_mcse,one_mcse_threshold,low_regret_r_val_min,low_regret_r_val_max,low_regret_r_val_values
SRCV,0.0,0.0,0.0,0.0,0.0,0.0,0.15,"0,0.025,0.05,0.075,0.1,0.125,0.15"
SRCV,0.025,0.0,0.0,0.0,0.0,0.0,0.15,"0,0.025,0.05,0.075,0.1,0.125,0.15"
SRCV,0.1,0.0,0.0,0.0,0.0,0.0,0.15,"0,0.025,0.05,0.075,0.1,0.125,0.15"
SRCV,0.15,0.0,0.009129237901180715,0.005341411265100073,0.014470649166280788,0.0,0.15,"0,0.025,0.05,0.075,0.1,0.125,0.15"
SRCV,0.19,0.0,0.031244984910813685,0.02401548290565489,0.055260467816468574,0.0,0.195,"0,0.025,0.05,0.075,0.1,0.125,0.15,0.17,0.18,0.19,0.195"
SRCV,0.2,0.19,0.05079607723386616,0.031284754299391905,0.08208083153325807,0.0,0.195,"0,0.025,0.05,0.075,0.1,0.125,0.15,0.17,0.18,0.19,0.195"
SRCV,0.21,0.19,0.09559414920156954,0.04074717071000786,0.13634131991157739,0.0,0.195,"0,0.025,0.05,0.075,0.1,0.125,0.15,0.17,0.18,0.19,0.195"
SRCV,0.24,0.24,0.06348083554968781,0.029653234555450814,0.09313407010513862,0.22,0.5,"0.22,0.24,0.27,0.32,0.4,0.5"
SRCV,0.32,0.27,0.0,0.0,0.0,0.27,0.5,"0.27,0.32,0.4,0.5"
SRCV,0.4,0.27,0.0,0.0,0.0,0.27,0.5,"0.27,0.32,0.4,0.5"
SRCV,0.5,0.27,0.0,0.0,0.0,0.27,0.5,"0.27,0.32,0.4,0.5"
