selector,r_val,r_eval,outer,selected_model,oracle_model_at_eval,selected_test_sr_at_eval,oracle_test_sr_at_eval,regret,oracle_match
clean,0.0,0.0,0,HistGB,HistGB,11.76015510447522,11.76015510447522,0.0,1
clean,0.0,0.0,1,HistGB,HistGB,13.73168860179165,13.73168860179165,0.0,1
clean,0.0,0.0,2,HistGB,HistGB,12.03246102203424,12.03246102203424,0.0,1
clean,0.0,0.0,3,HistGB,HistGB,12.507296971676508,12.507296971676508,0.0,1
clean,0.0,0.0,4,HistGB,HistGB,11.663767967150225,11.663767967150225,0.0,1
clean,0.0,0.0,5,HistGB,HistGB,12.788000461342667,12.788000461342667,0.0,1
clean,0.0,0.0,6,HistGB,HistGB,15.137088661400586,15.137088661400586,0.0,1
clean,0.0,0.0,7,HistGB,HistGB,11.832086758523523,11.832086758523523,0.0,1
clean,0.0,0.0,8,HistGB,HistGB,11.80698803744633,11.80698803744633,0.0,1
clean,0.0,0.0,9,HistGB,HistGB,12.556532991757797,12.556532991757797,0.0,1
clean,0.0,0.0,10,HistGB,HistGB,12.006766732493656,12.006766732493656,0.0,1
clean,0.0,0.0,11,HistGB,HistGB,11.346172695771273,11.346172695771273,0.0,1
clean,0.0,0.0,12,HistGB,HistGB,11.53607012306929,11.53607012306929,0.0,1
clean,0.0,0.0,13,HistGB,HistGB,12.501230435307573,12.501230435307573,0.0,1
clean,0.0,0.0,14,HistGB,HistGB,12.374390426143172,12.374390426143172,0.0,1
clean,0.0,0.0,15,HistGB,HistGB,12.425630433445932,12.425630433445932,0.0,1
clean,0.0,0.0,16,HistGB,HistGB,13.0920493003693,13.0920493003693,0.0,1
clean,0.0,0.0,17,HistGB,HistGB,14.474854688524555,14.474854688524555,0.0,1
clean,0.0,0.0,18,HistGB,HistGB,12.72431903276434,12.72431903276434,0.0,1
clean,0.0,0.0,19,HistGB,HistGB,12.38932481964971,12.38932481964971,0.0,1
clean,0.0,0.0,20,HistGB,HistGB,13.18137194824744,13.18137194824744,0.0,1
clean,0.0,0.0,21,HistGB,HistGB,13.996657000066351,13.996657000066351,0.0,1
clean,0.0,0.0,22,HistGB,HistGB,13.811627922541728,13.811627922541728,0.0,1
clean,0.0,0.0,23,HistGB,HistGB,13.32873782866024,13.32873782866024,0.0,1
clean,0.0,0.0,24,HistGB,HistGB,13.136467261751262,13.136467261751262,0.0,1
clean,0.0,0.025,0,HistGB,HistGB,13.790624657970188,13.790624657970188,0.0,1
clean,0.0,0.025,1,HistGB,HistGB,15.569190624933023,15.569190624933023,0.0,1
clean,0.0,0.025,2,HistGB,HistGB,14.088427543524208,14.088427543524208,0.0,1
clean,0.0,0.025,3,HistGB,HistGB,14.466111791412365,14.466111791412365,0.0,1
clean,0.0,0.025,4,HistGB,HistGB,13.735054816062018,13.735054816062018,0.0,1
clean,0.0,0.025,5,HistGB,HistGB,14.867893327492942,14.867893327492942,0.0,1
clean,0.0,0.025,6,HistGB,HistGB,17.17176789089314,17.17176789089314,0.0,1
clean,0.0,0.025,7,HistGB,HistGB,13.928703035242147,13.928703035242147,0.0,1
clean,0.0,0.025,8,HistGB,HistGB,14.035703406909802,14.035703406909802,0.0,1
clean,0.0,0.025,9,HistGB,HistGB,14.77125823960297,14.77125823960297,0.0,1
clean,0.0,0.025,10,HistGB,HistGB,14.180458644223837,14.180458644223837,0.0,1
clean,0.0,0.025,11,HistGB,HistGB,13.50742579877159,13.50742579877159,0.0,1
