selector,r_val,r_eval,model,count,frequency
SRCV,0.0,0.0,OLS,0,0.0
SRCV,0.0,0.0,RidgeCV,0,0.0
SRCV,0.0,0.0,LassoCV,0,0.0
SRCV,0.0,0.0,KNN,0,0.0
SRCV,0.0,0.0,RandomForest,0,0.0
SRCV,0.0,0.0,HistGB,25,1.0
SRCV,0.0,0.025,OLS,0,0.0
SRCV,0.0,0.025,RidgeCV,0,0.0
SRCV,0.0,0.025,LassoCV,0,0.0
SRCV,0.0,0.025,KNN,0,0.0
SRCV,0.0,0.025,RandomForest,0,0.0
SRCV,0.0,0.025,HistGB,25,1.0
SRCV,0.0,0.1,OLS,0,0.0
SRCV,0.0,0.1,RidgeCV,0,0.0
SRCV,0.0,0.1,LassoCV,0,0.0
SRCV,0.0,0.1,KNN,0,0.0
SRCV,0.0,0.1,RandomForest,0,0.0
SRCV,0.0,0.1,HistGB,25,1.0
SRCV,0.0,0.15,OLS,0,0.0
SRCV,0.0,0.15,RidgeCV,0,0.0
SRCV,0.0,0.15,LassoCV,0,0.0
SRCV,0.0,0.15,KNN,0,0.0
SRCV,0.0,0.15,RandomForest,0,0.0
SRCV,0.0,0.15,HistGB,25,1.0
SRCV,0.0,0.19,OLS,0,0.0
SRCV,0.0,0.19,RidgeCV,0,0.0
SRCV,0.0,0.19,LassoCV,0,0.0
SRCV,0.0,0.19,KNN,0,0.0
SRCV,0.0,0.19,RandomForest,0,0.0
SRCV,0.0,0.19,HistGB,25,1.0
SRCV,0.0,0.2,OLS,0,0.0
SRCV,0.0,0.2,RidgeCV,0,0.0
SRCV,0.0,0.2,LassoCV,0,0.0
SRCV,0.0,0.2,KNN,0,0.0
SRCV,0.0,0.2,RandomForest,0,0.0
SRCV,0.0,0.2,HistGB,25,1.0
SRCV,0.0,0.21,OLS,0,0.0
SRCV,0.0,0.21,RidgeCV,0,0.0
SRCV,0.0,0.21,LassoCV,0,0.0
SRCV,0.0,0.21,KNN,0,0.0
SRCV,0.0,0.21,RandomForest,0,0.0
SRCV,0.0,0.21,HistGB,25,1.0
SRCV,0.0,0.24,OLS,0,0.0
SRCV,0.0,0.24,RidgeCV,0,0.0
SRCV,0.0,0.24,LassoCV,0,0.0
SRCV,0.0,0.24,KNN,0,0.0
SRCV,0.0,0.24,RandomForest,0,0.0
SRCV,0.0,0.24,HistGB,25,1.0
SRCV,0.0,0.32,OLS,0,0.0
SRCV,0.0,0.32,RidgeCV,0,0.0
SRCV,0.0,0.32,LassoCV,0,0.0
SRCV,0.0,0.32,KNN,0,0.0
SRCV,0.0,0.32,RandomForest,0,0.0
SRCV,0.0,0.32,HistGB,25,1.0
SRCV,0.0,0.4,OLS,0,0.0
SRCV,0.0,0.4,RidgeCV,0,0.0
SRCV,0.0,0.4,LassoCV,0,0.0
SRCV,0.0,0.4,KNN,0,0.0
SRCV,0.0,0.4,RandomForest,0,0.0
SRCV,0.0,0.4,HistGB,25,1.0
SRCV,0.0,0.5,OLS,0,0.0
SRCV,0.0,0.5,RidgeCV,0,0.0
SRCV,0.0,0.5,LassoCV,0,0.0
SRCV,0.0,0.5,KNN,0,0.0
SRCV,0.0,0.5,RandomForest,0,0.0
SRCV,0.0,0.5,HistGB,25,1.0
SRCV,0.025,0.0,OLS,0,0.0
SRCV,0.025,0.0,RidgeCV,0,0.0
SRCV,0.025,0.0,LassoCV,0,0.0
SRCV,0.025,0.0,KNN,0,0.0
SRCV,0.025,0.0,RandomForest,0,0.0
SRCV,0.025,0.0,HistGB,25,1.0
SRCV,0.025,0.025,OLS,0,0.0
SRCV,0.025,0.025,RidgeCV,0,0.0
SRCV,0.025,0.025,LassoCV,0,0.0
SRCV,0.025,0.025,KNN,0,0.0
SRCV,0.025,0.025,RandomForest,0,0.0
SRCV,0.025,0.025,HistGB,25,1.0
SRCV,0.025,0.1,OLS,0,0.0
SRCV,0.025,0.1,RidgeCV,0,0.0
SRCV,0.025,0.1,LassoCV,0,0.0
SRCV,0.025,0.1,KNN,0,0.0
