selector,r_eval,r_val_left,r_val_right,outer_repeats,same_selection_rate,same_selection_mcse
clean,0.0,0.0,0.025,25,1.0,0.0
clean,0.025,0.0,0.025,25,1.0,0.0
clean,0.1,0.0,0.025,25,1.0,0.0
clean,0.15,0.0,0.025,25,1.0,0.0
clean,0.19,0.0,0.025,25,1.0,0.0
clean,0.2,0.0,0.025,25,1.0,0.0
clean,0.21,0.0,0.025,25,1.0,0.0
clean,0.24,0.0,0.025,25,1.0,0.0
clean,0.32,0.0,0.025,25,1.0,0.0
clean,0.4,0.0,0.025,25,1.0,0.0
clean,0.5,0.0,0.025,25,1.0,0.0
clean,0.0,0.025,0.05,25,1.0,0.0
clean,0.025,0.025,0.05,25,1.0,0.0
clean,0.1,0.025,0.05,25,1.0,0.0
clean,0.15,0.025,0.05,25,1.0,0.0
clean,0.19,0.025,0.05,25,1.0,0.0
clean,0.2,0.025,0.05,25,1.0,0.0
clean,0.21,0.025,0.05,25,1.0,0.0
clean,0.24,0.025,0.05,25,1.0,0.0
clean,0.32,0.025,0.05,25,1.0,0.0
clean,0.4,0.025,0.05,25,1.0,0.0
clean,0.5,0.025,0.05,25,1.0,0.0
clean,0.0,0.05,0.075,25,1.0,0.0
clean,0.025,0.05,0.075,25,1.0,0.0
clean,0.1,0.05,0.075,25,1.0,0.0
clean,0.15,0.05,0.075,25,1.0,0.0
clean,0.19,0.05,0.075,25,1.0,0.0
clean,0.2,0.05,0.075,25,1.0,0.0
clean,0.21,0.05,0.075,25,1.0,0.0
clean,0.24,0.05,0.075,25,1.0,0.0
clean,0.32,0.05,0.075,25,1.0,0.0
clean,0.4,0.05,0.075,25,1.0,0.0
clean,0.5,0.05,0.075,25,1.0,0.0
clean,0.0,0.075,0.1,25,1.0,0.0
clean,0.025,0.075,0.1,25,1.0,0.0
clean,0.1,0.075,0.1,25,1.0,0.0
clean,0.15,0.075,0.1,25,1.0,0.0
clean,0.19,0.075,0.1,25,1.0,0.0
clean,0.2,0.075,0.1,25,1.0,0.0
clean,0.21,0.075,0.1,25,1.0,0.0
clean,0.24,0.075,0.1,25,1.0,0.0
clean,0.32,0.075,0.1,25,1.0,0.0
clean,0.4,0.075,0.1,25,1.0,0.0
clean,0.5,0.075,0.1,25,1.0,0.0
clean,0.0,0.1,0.125,25,1.0,0.0
clean,0.025,0.1,0.125,25,1.0,0.0
clean,0.1,0.1,0.125,25,1.0,0.0
clean,0.15,0.1,0.125,25,1.0,0.0
clean,0.19,0.1,0.125,25,1.0,0.0
clean,0.2,0.1,0.125,25,1.0,0.0
clean,0.21,0.1,0.125,25,1.0,0.0
clean,0.24,0.1,0.125,25,1.0,0.0
clean,0.32,0.1,0.125,25,1.0,0.0
clean,0.4,0.1,0.125,25,1.0,0.0
clean,0.5,0.1,0.125,25,1.0,0.0
clean,0.0,0.125,0.15,25,1.0,0.0
clean,0.025,0.125,0.15,25,1.0,0.0
