radius,selector,model,count,total,frequency
0.0,clean,HistGB,25,25,1.0
0.025,clean,HistGB,25,25,1.0
0.05,clean,HistGB,25,25,1.0
0.075,clean,HistGB,25,25,1.0
0.1,clean,HistGB,25,25,1.0
0.125,clean,HistGB,25,25,1.0
0.15,clean,HistGB,25,25,1.0
0.17,clean,HistGB,25,25,1.0
0.18,clean,HistGB,25,25,1.0
0.19,clean,HistGB,25,25,1.0
0.195,clean,HistGB,25,25,1.0
0.2,clean,HistGB,25,25,1.0
0.205,clean,HistGB,25,25,1.0
0.21,clean,HistGB,25,25,1.0
0.22,clean,HistGB,25,25,1.0
0.24,clean,HistGB,25,25,1.0
0.27,clean,HistGB,25,25,1.0
0.32,clean,HistGB,25,25,1.0
0.4,clean,HistGB,25,25,1.0
0.5,clean,HistGB,25,25,1.0
0.0,sr,HistGB,25,25,1.0
0.025,sr,HistGB,25,25,1.0
0.05,sr,HistGB,25,25,1.0
0.075,sr,HistGB,25,25,1.0
0.1,sr,HistGB,25,25,1.0
0.125,sr,HistGB,25,25,1.0
0.15,sr,HistGB,25,25,1.0
0.17,sr,HistGB,24,25,0.96
0.17,sr,RandomForest,1,25,0.04
0.18,sr,HistGB,23,25,0.92
0.18,sr,KNN,2,25,0.08
0.19,sr,HistGB,23,25,0.92
0.19,sr,KNN,1,25,0.04
0.19,sr,RandomForest,1,25,0.04
0.195,sr,HistGB,23,25,0.92
0.195,sr,KNN,1,25,0.04
0.195,sr,RandomForest,1,25,0.04
0.2,sr,HistGB,18,25,0.72
0.2,sr,KNN,5,25,0.2
0.2,sr,RandomForest,2,25,0.08
0.205,sr,HistGB,17,25,0.68
0.205,sr,KNN,7,25,0.28
0.205,sr,RandomForest,1,25,0.04
0.21,sr,HistGB,19,25,0.76
0.21,sr,KNN,6,25,0.24
0.22,sr,HistGB,7,25,0.28
0.22,sr,KNN,18,25,0.72
0.24,sr,HistGB,1,25,0.04
0.24,sr,KNN,24,25,0.96
0.27,sr,KNN,25,25,1.0
0.32,sr,KNN,25,25,1.0
0.4,sr,KNN,25,25,1.0
0.5,sr,KNN,25,25,1.0
