radius,clean_oracle_match_rate,sr_oracle_match_rate,clean_regret_mean,sr_regret_mean,clean_regret_se,sr_regret_se,clean_test_sr_mean,sr_test_sr_mean,oracle_test_sr_mean,outer_repeats
0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.725669489056184,12.725669489056184,12.725669489056184,25
0.025,1.0,1.0,0.0,0.0,0.0,0.0,14.809379006710863,14.809379006710863,14.809379006710863,25
0.05,1.0,1.0,0.0,0.0,0.0,0.0,15.827372923228834,15.827372923228834,15.827372923228834,25
0.075,1.0,1.0,0.0,0.0,0.0,0.0,16.520780026751186,16.520780026751186,16.520780026751186,25
0.1,1.0,1.0,0.0,0.0,0.0,0.0,17.118684888466667,17.118684888466667,17.118684888466667,25
0.125,0.96,0.96,0.0034124244731214047,0.0034124244731214047,0.003412424473121404,0.003412424473121404,17.822453858733976,17.822453858733976,17.819041434260853,25
0.15,0.88,0.88,0.009129237901180573,0.009129237901180573,0.005341411265099967,0.005341411265099967,18.445785910216717,18.445785910216717,18.436656672315536,25
0.17,0.84,0.8,0.016633753596499334,0.03576948278190727,0.011169450910671803,0.021550124085255185,19.10314410688194,19.122279836067346,19.08651035328544,25
0.18,0.8,0.72,0.024088557221211032,0.05766470647157064,0.021509683729819404,0.033293967114482195,19.441724152932665,19.475300302183026,19.417635595711452,25
0.19,0.84,0.76,0.03124498491081397,0.04441900987942375,0.02401548290565502,0.026024413669623787,19.768757151944115,19.781931176912725,19.7375121670333,25
0.195,0.68,0.6,0.03794317846591653,0.05271913540185651,0.023645385789039047,0.024843354971608993,19.903429946167364,19.918205903103303,19.865486767701448,25
0.2,0.72,0.6,0.05158617267396437,0.14467824803617318,0.03140176678447561,0.05801478590362524,20.090533377652843,20.183625453015054,20.038947204978882,25
0.205,0.68,0.48,0.06721355048394799,0.14892982982632944,0.0339772869269918,0.048251047673692496,20.203134244753606,20.28485052409599,20.13592069426966,25
0.21,0.56,0.52,0.10194341754043705,0.13894476847654644,0.041371971693358524,0.05223352911467154,20.43251827958851,20.469519630524623,20.330574862048078,25
0.22,0.32,0.68,0.1981713136861306,0.11653275774450562,0.04831077092732108,0.04443837494163062,20.83953474302227,20.757896187080647,20.64136342933614,25
0.24,0.2,0.8,0.3228179421458184,0.0634808355496881,0.06729410616566611,0.029653234555450974,21.529461033378006,21.270123926781874,21.20664309123219,25
0.27,0.12,0.88,0.7058966799571421,0.005269903938615954,0.07859753532662087,0.004119417454845771,22.726234025863423,22.025607249844892,22.020337345906277,25
0.32,0.0,1.0,1.50101755809346,0.0,0.08224181581131694,0.0,24.968320225727652,23.467302667634193,23.467302667634193,25
0.4,0.0,1.0,2.826339218699301,0.0,0.0880687062786075,0.0,28.991614175923797,26.165274957224497,26.165274957224497,25
0.5,0.0,1.0,4.706924210235701,0.0,0.0950057991114987,0.0,34.987478931077334,30.280554720841632,30.280554720841632,25
